it_global,loss
308,0.18122127652168274
309,0.1808203160762787
310,0.1804204285144806
311,0.18002024292945862
312,0.17961806058883667
313,0.1792123019695282
314,0.17880140244960785
315,0.17838531732559204
316,0.17796361446380615
317,0.17753592133522034
318,0.17710308730602264
319,0.1766652911901474
320,0.17622306942939758
321,0.17577669024467468
322,0.17532598972320557
323,0.1748703122138977
324,0.17440959811210632
325,0.1739441603422165
326,0.17347392439842224
327,0.172998309135437
328,0.17251774668693542
329,0.17203152179718018
330,0.1849396824836731
331,0.18444831669330597
332,0.18396465480327606
333,0.1834908127784729
334,0.18302620947360992
335,0.18256936967372894
336,0.18211835622787476
337,0.18167155981063843
338,0.18122762441635132
339,0.18078503012657166
340,0.18034091591835022
341,0.17989444732666016
342,0.179446280002594
343,0.1789962351322174
344,0.17854377627372742
345,0.17808863520622253
346,0.17763036489486694
347,0.177168607711792
348,0.17670291662216187
349,0.1762329339981079
350,0.1757575273513794
351,0.1752764880657196
352,0.17478953301906586
353,0.1742962896823883
354,0.1737968623638153
355,0.1732909381389618
356,0.1727781891822815
357,0.17225834727287292
358,0.17173165082931519
359,0.17119799554347992
360,0.18491989374160767
361,0.18444254994392395
362,0.18397364020347595
363,0.18351498246192932
364,0.1830662041902542
365,0.18262675404548645
366,0.1821979284286499
367,0.18177956342697144
368,0.18136948347091675
369,0.1809639185667038
370,0.18056058883666992
371,0.18015636503696442
372,0.17974911630153656
373,0.17933757603168488
374,0.17892000079154968
375,0.17849668860435486
376,0.17806819081306458
377,0.17763426899909973
378,0.17719542980194092
379,0.17675185203552246
380,0.17630498111248016
381,0.1758548617362976
382,0.17540080845355988
383,0.1749434918165207
384,0.17448201775550842
385,0.17401546239852905
386,0.17354300618171692
387,0.17306335270404816
388,0.17257648706436157
389,0.17208231985569
390,0.1846519410610199
391,0.18416401743888855
392,0.18368613719940186
393,0.18321819603443146
394,0.18275940418243408
395,0.18231059610843658
396,0.18187116086483002
397,0.18144017457962036
398,0.1810148060321808
399,0.18059362471103668
400,0.18017427623271942
401,0.17975562810897827
402,0.1793355792760849
403,0.17891252040863037
404,0.17848628759384155
405,0.1780557930469513
406,0.17762057483196259
407,0.17717981338500977
408,0.17673417925834656
409,0.17628349363803864
410,0.17582787573337555
411,0.17536607384681702
412,0.17489804327487946
413,0.17442366480827332
414,0.17394334077835083
415,0.1734565645456314
416,0.1729644238948822
417,0.17246633768081665
418,0.17196163535118103
419,0.1714497208595276
420,0.1838257610797882
421,0.18332701921463013
422,0.18284019827842712
423,0.1823662966489792
424,0.18190284073352814
425,0.18144741654396057
426,0.18099857866764069
427,0.18055585026741028
428,0.18011806905269623
429,0.17968198657035828
430,0.17924714088439941
431,0.17881201207637787
432,0.17837607860565186
433,0.17793838679790497
434,0.177498459815979
435,0.17705678939819336
436,0.1766124963760376
437,0.17616498470306396
438,0.17571358382701874
439,0.17525778710842133
440,0.17479708790779114
441,0.17433129251003265
442,0.17385932803153992
443,0.17338091135025024
444,0.17289654910564423
445,0.17240621149539948
446,0.17191007733345032
447,0.1714078187942505
448,0.17089971899986267
449,0.17038625478744507
450,0.183689147233963
451,0.18319538235664368
452,0.1827113926410675
453,0.1822374165058136
454,0.18177178502082825
455,0.18131431937217712
456,0.1808638870716095
457,0.18041986227035522
458,0.17998084425926208
459,0.1795451045036316
460,0.17911028861999512
461,0.17867587506771088
462,0.17823879420757294
463,0.1777980625629425
464,0.1773533821105957
465,0.17690445482730865
466,0.17645081877708435
467,0.175991952419281
468,0.1755283623933792
469,0.1750597357749939
470,0.17458683252334595
471,0.17410960793495178
472,0.17362761497497559
473,0.17314118146896362
474,0.17264977097511292
475,0.17215313017368317
476,0.17165181040763855
477,0.1711447536945343
478,0.1706320345401764
479,0.17011383175849915
480,0.18604475259780884
481,0.18551191687583923
482,0.18498852849006653
483,0.1844763159751892
484,0.18397414684295654
485,0.18348316848278046
486,0.18300440907478333
487,0.18253818154335022
488,0.18208296597003937
489,0.1816379725933075
490,0.1812020242214203
491,0.1807727813720703
492,0.1803482323884964
493,0.17992562055587769
494,0.17950382828712463
495,0.17908132076263428
496,0.1786559671163559
497,0.1782265156507492
498,0.1777912974357605
499,0.1773492991924286
500,0.17689964175224304
501,0.17644262313842773
502,0.17597956955432892
503,0.17551034688949585
504,0.17503556609153748
505,0.17455507814884186
506,0.17406950891017914
507,0.17357893288135529
508,0.1730833649635315
509,0.17258255183696747
510,0.1857779175043106
511,0.18530943989753723
512,0.1848507821559906
513,0.18440181016921997
514,0.18396097421646118
515,0.1835266351699829
516,0.1830972284078598
